t,V_batt,V_fgic
220.000000,4.095833,4.095595
220.250000,4.095833,4.095424
220.500000,4.095833,4.095986
220.750000,4.095833,4.095498
221.000000,4.095833,4.095734
221.250000,4.095833,4.095934
221.500000,4.095833,4.095952
221.750000,4.095833,4.095477
222.000000,4.095833,4.095462
222.250000,4.095833,4.095787
222.500000,4.095833,4.095936
222.750000,4.095833,4.095856
223.000000,4.095833,4.095806
223.250000,4.095833,4.095550
223.500000,4.095833,4.096288
223.750000,4.095833,4.095404
224.000000,4.095833,4.096214
224.250000,4.095833,4.095673
224.500000,4.095833,4.096251
224.750000,4.095833,4.096116
225.000000,4.095833,4.095360
225.250000,4.095833,4.096136
225.500000,4.095833,4.096259
225.750000,4.095833,4.095630
226.000000,4.095833,4.095447
226.250000,4.095833,4.095636
226.500000,4.095833,4.095563
226.750000,4.095833,4.095592
227.000000,4.095833,4.096270
227.250000,4.095833,4.096059
227.500000,4.095833,4.096177
227.750000,4.095833,4.095876
228.000000,4.095833,4.096236
228.250000,4.095833,4.095901
228.500000,4.095833,4.096024
228.750000,4.095833,4.095996
229.000000,4.095833,4.095409
229.250000,4.095833,4.095869
229.500000,4.095833,4.095512
229.750000,4.095833,4.095456
230.000000,4.095833,4.096144
230.250000,4.095833,4.096171
230.500000,4.095833,4.096049
230.750000,4.095833,4.096240
231.000000,4.095833,4.095952
231.250000,4.095833,4.096130
231.500000,4.095833,4.095833
231.750000,4.095833,4.095933
