t,I_batt,Tau_batt,Tau_fgic,C1_batt,C1_fgic
99.000000,2.000000,6.628187,6.628360,1555.004102,1555.503981
99.250000,2.000000,6.628239,6.628369,1555.143001,1555.526308
99.500000,2.000000,6.628291,6.629296,1555.281900,1558.056673
99.750000,2.000000,6.628343,6.629484,1555.420799,1558.581272
100.000000,2.000000,6.628395,6.629523,1555.559698,1558.689529
100.250000,2.000000,6.628447,6.629387,1555.698598,1558.310463
100.500000,2.000000,6.628498,6.628538,1555.837497,1555.981916
100.750000,2.000000,6.628550,6.628870,1555.976396,1556.883361
101.000000,2.000000,6.628601,6.629122,1556.115295,1557.573255
101.250000,2.000000,6.628652,6.629163,1556.254194,1557.689183
101.500000,2.000000,6.628703,6.628733,1556.393094,1556.511214
101.750000,2.000000,6.628755,6.628732,1556.531993,1556.508856
102.000000,2.000000,6.628805,6.629393,1556.670892,1558.327526
102.250000,2.000000,6.628856,6.629089,1556.809791,1557.486479
102.500000,2.000000,6.628907,6.629050,1556.948691,1557.378442
102.750000,2.000000,6.628958,6.629187,1557.087590,1557.757147
103.000000,2.000000,6.629008,6.629772,1557.226489,1559.393678
103.250000,2.000000,6.629059,6.630104,1557.365388,1560.339917
103.500000,2.000000,6.629109,6.630070,1557.504287,1560.241158
103.750000,2.000000,6.629160,6.630233,1557.643187,1560.710829
104.000000,2.000000,6.629210,6.629452,1557.782086,1558.492089
104.250000,2.000000,6.629260,6.629707,1557.920985,1559.209146
104.500000,2.000000,6.629310,6.629435,1558.059884,1558.445895
104.750000,2.000000,6.629360,6.629651,1558.198783,1559.049784
105.000000,2.000000,6.629410,6.630410,1558.337683,1561.224479
105.250000,2.000000,6.629459,6.629569,1558.476582,1558.823063
105.500000,2.000000,6.629509,6.629462,1558.615481,1558.521010
105.750000,2.000000,6.629559,6.630321,1558.754380,1560.965268
106.000000,2.000000,6.629608,6.630280,1558.893279,1560.847485
106.250000,2.000000,6.629657,6.630378,1559.032179,1561.133909
106.500000,2.000000,6.629707,6.629656,1559.171078,1559.067877
106.750000,2.000000,6.629756,6.630504,1559.309977,1561.500632
107.000000,2.000000,6.629805,6.630835,1559.448876,1562.474231
107.250000,2.000000,6.629854,6.630511,1559.587776,1561.523358
107.500000,2.000000,6.629903,6.630593,1559.726675,1561.763769
107.750000,2.000000,6.629951,6.629948,1559.865574,1559.898645
